disease_name,gene_name
"hypertension, pregnancy-induced",TUBB1; TNS2; PRDM8; NOC3L; NPR3; MFN2; PLCE1; SPRYD3; RGL3; C1orf167; CLCN6; MTHFR; MECOM; ID2; PREX1; ZNF831; FGF5; CSAD; IGFBP6
hypertensive heart disease,FGF5; PRDM8; CFAP299; PRR33; ST7L; LSP1; WNT2B; KCNK3; CASZ1; CIB4; ANTXR2
hyperthyroidism,RNASET2; BTN3A1; BAK1; SDCCAG8; RSBN1; ZNF184; CEP128; CCN4; BACH2; TRIM38; PHTF1; H2BC11; PTPN22; XPA; MYC; ZSCAN9; TMEM63B; CEP170; ZSCAN12; TSHR; FAM227B; CHRNA9; ZNF322; H1-5; H2AC11; H3C12; H4C11; ZKSCAN8; H4C12; H2AC14; H3C10; RPS6KA2; MTMR2; VEGFA; NCOA5; ZBED3; SLC39A11; EDAR; TRMO; NCBP1; FGF7; LPP; CTLA4; ICOS; CEP57; HLA-DQB1; BTN3A2; ZSCAN23; ZNF165; H2BC12; ZNF311; ZBTB9; ZSCAN31; H2AC15; H3C11; H4C9; FAM76B; MRPS18A; BTN3A3; ITK; SLC12A5; BTN2A2; SOX9; PGBD1; COPS2; LIMS1; RSPH9; MRPL14; ZKSCAN4; ZKSCAN3; H2AC13; ZSCAN26; SYNGAP1; OR2W1; TRIM27; CEP43; H2BC17; H2AC12; H4C13; H2AC16; H2AC17; PRDM11; SYT13; CD40; CUTA; C6orf118; PDE10A; BTN2A1; PRSS16; PDE8B; HEMGN; CAPN11; ABT1; SESN3; RANBP2; GALK2; POM121L2; CCDC138; RHOH; GARIN3; MAF; FOXE1; H2BC13; H1-2; H4C3; GPX6; OR2J3; H2BC15; H2BC14
hypertrichosis,HOOK2; GCDH; DAND5; ANTXR2; GADD45GIP1; RNASEH2A; FGF5; FARSA; KLF1; DNASE2; MAST1; RTBDN; PRDM8; SYCE2; CALR; CFAP299
hypertrophic cardiomyopathy,NSF; MOCOS; SPG21; MMP11; SMARCB1; DERL3; WNT3; P2RX3; PITPNM1; CEP85L; FHOD3; ALPK3; SEC11A; TCF7L2; GLYAT; CSTPP1; SLC22A9; KIAA1328; VTI1A; BAG3; ADPRHL1; WNT9B; PCLAF; CABP2; PLAAT5; ACTBL2; DNAJC18; SPATA24; OR9G4; OR5AR1; OR9G1; OR5M3; ARHGAP1; OR4C5; SEC24C; MYOZ1; CHRM4; TRIM49B; SRARP; LRRC55; STING1; ARL17A; CLCNKA; PRG2; SLC35F1; PLN; CTNND1; TMX2; ZSWIM8; TRIM64C; TRIM51G; PLEKHM1; PROB1; MIF; PLEKHO2; CNTF; OR5M1; RAB44; OR4C13; OR6Q1; GSTP1; FOLH1; MDK; AMBRA1; KANSL1; CRHR1; CRY2; CDKN1A; FLNC; CCDC136; SLC6A6; TPGS2; SLC43A3; PHF21A; PIF1; SSRP1; TRIM48; PRKCA; XPC; MED19; ARHGAP27; USP54; NDST2; GLYATL1; LSM3; OR4C11; OR5AP2; AGAP5; HSPB7; ATG13; F2; HARBI1; OR4C15; OR5D3P; RTN4RL2; FUT11; NMB; OR4A5; LRRC37A2; OR5M10; OR5M11; OR5D13; MTUS2; LGALS12; LRP4; APLNR; DGKZ; TNKS1BP1; PTPRJ; OR5M9; DCUN1D2; PRG3; LARGE2; PACSIN3; ZNF592; OR4S2; CHST1; ZSCAN2; OR4C3; OR5AK2; SLC35C1; OR4C6; OR4C46; OR9Q1; SELENOH; BTBD18; nan; OR4A47; OR4C16; PRDM11; SYT13; ZDHHC6; GPBP1; FNDC3B; GOSR2; MAPK8IP1; PEX16; CAMK2G; SLC43A1; GLYATL2; CREB3L1; CHCHD4; SYNPO2L; SLC23A1; TMEM43; CHCHD1; ZNF408; LRRC37A; WDR73; OR5M8; OR4P4; OR4A15; OR4A16; ARL17B; LINC02210-CRHR1
hypertrophy,AP4E1; CYP19A1; USP8; USP50; GLDN; SPPL2A; TAF1A; DUSP10; TRPM7; HHIPL2
hyperuricemia,KCNQ1; TRPM5; SLC22A18; CD81; C11orf21; ACAD10; ABCG2; CNTN5; ARHGAP42; NPEPL1; BRAP; NELFCD; SLC2A9; ALDH2; CDKN1C; ASCL2; CYP24A1; TSPAN32; BCAS1; WDR1; GNAS; INS-IGF2; IGF2; TH; INS; CTSZ; PKD2; PHLDA2; TSSC4; nan; STX16-NPEPL1
hypospadias,HOXA7; DAAM2; LACTB2; CYRIB; KCNMA1; IRX6; GREM1; IRX5; EXOC3; XKR9; CTSO; PDCD6-AHRR; AHRR; TAX1BP1; DNAH6; ZFHX3; GSDMC; PKDCC; RUVBL1; TMSB10; MMP2; EYA1; HOXA2; HOXA6; EEFSEC; AMHR2; PDGFC; IGFBP1; JAZF1; OXER1; KIF6; TRABD2A; PCBP2; HOXA4; CCDC201; SLC9A3; HOXA3; HIBADH; IGFBP3; LRMDA; TDO2; HAAO; SP7; SP1; PRR13
hypothyroidism,SKAP2; FARP2; UBR7; RUNX3; RNASET2; SH2D2A; TG; CP; PTCD2; AKR7A2; BLTP3A; PDE4A; ATP11A; TRIB2; TBX21; TMEM131; FAM76B; CAPZB; SDF4; TNS1; RSBN1; MAGI3; TCF7; DOCK9; ERP29; KCNH4; LAG3; ITPR3; CDHR5; RPL3; MTMR3; IL2RB; ACO2; CEP128; FNDC3A; MLNR; DGKH; IL21R; PLIN3; TYK2; TFR2; PLGRKT; TBC1D13; RAB5C; NFKB1; MANBA; FAM149A; SLC1A2; CD69; CLEC2B; SH2B3; NAA25; IFNG; RAB5B; SASH1; TULP1; BACH2; HBS1L; PDE10A; VEGFA; MRPS27; PDE8B; TIMMDC1; CBLB; ACTR1B; ZAP70; PSMD14; IFIH1; STAT1; TPO; PHTF1; LGALS8; APOA1; CAMSAP2; MYB; ALDH8A1; DCLRE1B; ARMC2; NKX2-3; CD274; IFNA8; ADCY7; FLT3; SPRYD7; IKZF4; BAZ2B; FOXA2; MGME1; BANF2; TICAM1; LIF; PHF20L1; IQCN; GSE1; GINS2; NFATC1; C1QTNF6; GSTM5; VAV3; PTPN22; KIDINS220; RBM17; IL2RA; FADS2; TMEM258; UBAC2; TMEM60; KCP; BLK; GATA4; LRRC8A; HEMGN; PSMB7; TRMO; XPA; NCBP1; IRF4; UQCC2; PNPT1; ZNF365; STAT4; NAB1; IL21; SLC39A8; SUOX; RB1; IRF8; FEM1A; CREG1; PRCC; SLC25A38; LPP; ILDR1; CISD2; GIN1; FGD2; GIGYF1; SLC25A37; FADS1; SIDT2; TAGLN; CD226; MBIP; NR3C2; CAMK4; ZFP36L2; NEIL2; ELMO1; FCHO2; TIMP4; SYN2; PRXL2B; H4C8; NBL1; TMPRSS3; UBASH3A; RSPH1; JAK1; SNED1; CIP2A; CTLA4; ICOS; C4orf36; TLR3; TERT; SLC29A4; TNFRSF11B; FOXK1; TSHR; BRD7; HSP90B1; TEF; NOD2; TRANK1; OR2B2; RBPJ; SEPTIN2; RHOH; GPR183; TM4SF1; PFKFB3; XKR6; SOX7; PDE7B; NHLH1; PRL; RSPH9; AFF1; RASGRP1; HECTD4; COMMD1; MICOS10; PPP1R14B; CTDNEP1; TMEM39A; HORMAD2; ZNF366; EPM2AIP1; MAF; FOXE1; NRIP1; MACIR; CLDN7; RTKN2; SPATA13; MTA1; FHL3; URAD; TOB2; H1-5; COLEC10; PRSS55; IFNE; H2BC13; IFITM2; PMEL; IFITM1; EDARADD; TNFRSF18; IFNA2; IFNA1; NTRK1; KCNRG; EPS8L3; LRIG2; CD247; INPP5B; PSORS1C1; ATXN2; nan; TRIM13; DEFB134; DEFB135; DOK6; SLC48A1; POU5F1B; CRIP1; ZBTB9; KCTD11; NEURL4; ZNF705D; TTC34; HLA-DPB1; ADM5; TEX22; C2orf92; DEFB130B; C1QTNF9; HLA-DOB; LY75-CD302; SMIM20; PRSS51; PINX1; ARMS2; ITGB3; FDX2; PPP4R3B; PRAG1; H2BC10; PHTF2; ELOA; AKAP11; CD44; TNFRSF1B; ARHGAP31; SLC66A1; KATNIP; VPS13D; TNPO3; ERBB3; PRKCQ; DRD4; PHRF1; ICAM3; FAP; MTMR2; SNX5; FKBP5; MTAP; SBF1; RANGAP1; ZC3H7B; CEP76; CCN4; CDC37; RASIP1; GLIS3; DHX58; KAT2A; UBE2D3; IL2; CLNK; ALDH2; IL26; NEDD9; C6orf118; BCL6; GCA; HDLBP; THADA; HMGCL; TNP1; NEK6; CD80; AGO2; SNRPC; GPR18; MCF2L; PRDX5; IRF3; ADM2; DNAAF11; EPO; JUND; EMC8; SSTR4; BHLHE40; GSTM1; GSTM3; IL15RA; AHI1; PLXNC1; MARCHF7; KLF4; RAB20; RERE; MYH15; SLC10A6; ANO7; SESN3; ARID5B; DSPP; CAPSL; FBXL18; USP25; TNFRSF14; SIK3; LEMD2; AK4; RAVER2; TTLL10; CFAP36; POGLUT1; PPM1L; TM4SF18; TAGAP; CDX2; CEP57; TMX3; SNX20; CX3CR1; IL7R; CPT1C; GPR25; KYAT1; INSR; CHD7; NINJ2; CSDC2; EFCAB3; GPR137; PTPN2; MAMSTR; EFCAB13; C12orf42; HLA-DQB1; CCR8; S1PR5; TNRC18; RAD51B; CRIP2; SF3A3; UTP11; RP1L1; SPATA32; TMEM121; IRF7; POU3F1; WWOX; RSBN1L; MTF1; YRDC; H2AC13; RPS26; RTP2; CDSN; DEFB136; VDAC1; IFNA13; HSPB9; MUC22; MICOS10-NBL1; H3C10; FYN; ANKS1A; ACAP1; GTF3C1; RAPGEF3; KEAP1; SESN1; IL12RB2; TNPO1; METTL2A; MAPKAPK5; BLVRB; MLN; PDGFB; SYNGR1; ITPK1; RAB2A; MTMR9; AKT2; PANX1; PHF1; CUTA; MAN2A1; CD86; IGFBP5; STK25; ID2; GLT8D2; SOX4; MYRF; OVOL2; PRMT1; SCAF1; PTPN12; PPARG; ZBED3; TANK; BLTP1; PIK3R5; MMEL1; CSRNP1; CCDC102B; SPEF2; SPARCL1; BANK1; FAM167A; TMEM171; WIPI2; TSPAN33; AGRP; ZER1; ZDHHC12; PKN3; PCSK7; RPS6KA4; SLAMF6; SLC9B1; SLC9B2; ADAD1; TMEM174; CTSB; TMEM71; MEI1; ENDOG; CCDC88B; PAFAH1B2; FEN1; B3GNT2; B3GALT6; MB21D2; D2HGDH; EPHA10; C1QTNF12; KCNH7; FMNL1; TEDC1; DLEU7; ZNF546; CNR2; ILRUN; ANKRD36B; SYNGAP1; C1orf122; HSD17B11; SPOUT1; RGL3; CEP43; GSTM2; USP17L2; USP17L7; HLA-DPA1; HLA-B; CD302; AP5Z1; H2BC14; H3C8; BAK1; RPS6KA2; MLH1; FDFT1; CYLD; ERO1B; LRRFIP2; PHF5A; POLR3H; CDADC1; CTCF; PRX; PLEKHA1; ACAD10; DUSP22; GLS; IGFBP2; OLFML3; TNFSF11; SPDEF; TM9SF2; CD93; IL22; IRF5; MAP3K10; ACAP3; EIF5A; MYC; NPEPPS; IFITM3; NTN5; GNA12; ZAN; MAL2; CYSLTR2; C16orf74; SST; NRG1; SLC37A1; IP6K3; SLC45A1; AKR7A3; VANGL2; HIPK1; INAVA; PTPN13; NKX3-1; RPSA; AHCYL1; NMD3; B3GALNT1; TACR3; C8orf74; IFNB1; POP7; CHRNA9; MSRA; BOK; FUT2; THBD; FUCA1; PTPN11; IZUMO1; CEP57L1; CSF1; MANEAL; FAM86B1; TMEM17; HLA-DQA1; H4C11; TMEM116; CARD11; DZIP3; C6orf15; DEFB130A; H2AC14
idiopathic pulmonary fibrosis,ATP11A; TOLLIP; MYNN; DSP; MUC5B; KIF15; TGM4; TERT; CNPY4; TMEM42; CRACR2B; TIGD2; KLHL25; ZNF502; ELFN1; CRHR1; IVD; FAM13A; AKAP13; MOB2; MUC6; MUC2; INSYN2B; SPDL1; NUDT1; MRM2; DPP9; SNRNP48; EPS8L2; TALDO1; ACTRT3; SPPL2C; NT5M; MAD1L1; ZKSCAN1; MCF2L; MPRIP; BAHD1; COPS3; DEPTOR; KIAA1143; TTYH1; LRRC34; ZNF501; MAPT; TNFRSF13B; LINC02210-CRHR1
immune system disease,CLEC16A; JAK2; SEC14L2; IQCH; PHTF1; PHF19; INSL4; TMEM254; SPIRE1; IL33; CREG1; EMSY; UBASH3A; YDJC; CCDC116; VWA3B; TLR1; PRM1; DEXI; FAM114A1; CD247; C1orf141; PSORS1C1; C6orf15; SUPT4H1; TRAF1; TMEM131; ITPR3; SEC14L3; ZAP70; IL1RL1; ANXA11; CCR7; TCF19; LRRC32; STAT4; TSLP; TNIP1; GAL3ST2; IL23R; ADAD1; SLC25A46; TLR6; PRM3; TNP2; PDCD1; PHETA1; CDSN; KRT222; SMARCE1; CEP76; AAGAB; C5; DDX6; IL18R1; INSL6; KIDINS220; FAM117B; IL21; BLTP1; ELMO1; CXCR5; IP6K3; ALOX15; IL7R; PTPN2; RMI2; UBE2L3; HLA-DQA1; CEBPA; RNF215; RNF43; IL2; SH2B3; STAT1; IL18RAP; ID2; YPEL5; PRM2; SLC7A10; PTPN22; WDR36; CAMK4; SMAD3; TLR10; D2HGDH; SOCS1; TMEM232; PLAC9; SPRED2; ATXN2; LBH; MTFP1; MUC22
immunoglobulin isotype switching measurement,ARPC3; HVCN1; EMC8; TAP1; TLR10; TLR6; CRIP2; MTA1; TEDC1; PAX5; PPTC7; CRIP1; PSMB9; TESK2; IRF8; ACOXL; BCL2L11; ANAPC1; PDHB; PPP1CC; PHETA1; TCTN1; TEX22; LGMN; GPN3; PAPOLG; TRAF3; TOE1; MUTYH; MERTK; PXK; TMEM121; ANAPC7; PSMB8; FAM216A; HLA-B; ATP2B4; RIN3; VPS29; CUX2; SH2B3; REL; TLR1; PACS2; FAM114A1; TAP2
indoxyl sulfate measurement,RNF8; ABL2; TMEM217; CMTR1; RYBP; SOAT1; CSNK1G3; AXDND1; CCDC167; MDGA1; ZFAND3
infant body height,DDX27; LLPH; ERCC6L2; PTCH1; EIF6; OTUD7B; ARFGEF2; ZNFX1; HMGA2; SPAG17; HHIP; SKIC2; CFB; UQCC1; NCAPG; MFGE8; TMBIM4; FANCC; CENPW; MTMR11; GDF5; HAPLN3; ACAN; LCORL; NELFE
infant head circumference,MPHOSPH9; RC3H2; ZNFX1; STAU1; DDX27; MTRFR; CDKAL1; RILPL2; TMBIM4; STRBP; LEKR1; TOP1; ADRB1; CDK2AP1; LPIN3; LLPH; SBNO1; HMGA2; TIPARP; CCNL1; ZBTB26; ZHX3; ZBTB38; KMT5A; RABGAP1; PITPNM2; EPAS1; PLCG1; ARFGEF2; CSE1L; ABCB9; ZBTB6; IGF2BP3; RASA2; EMILIN3
infantile hypertrophic pyloric stenosis,AADAC; ARHGEF26; APOA1; PTPDC1; SIK3; PCSK7; SLMAP; CREBRF; DENND6A; NKX2-5; BNIP1; BARX1; MBNL1; PAFAH1B2; SUCNR1; TAGLN
infection,GSDMB; IL18RAP; SMAD3; SLC9A4; D2HGDH; ZPBP2; IQCH; IRF1; TSLP; IKZF3; SLC22A5; IL18R1; ORMDL3; AAGAB; IL1RL1; IL33; GAL3ST2; PDCD1
inflammatory biomarker measurement,BAIAP3; TSR3; HERC1; PLEKHA8; VEGFA; FAM124B; IPPK; OMD; NAPG; CAPN11; VLDLR; PARD3; CCDC102B; UBASH3B; APCDD1; NSMCE2; KCNV2; FSTL5; ROR2; RSPH9; ZNRF2; CSF1R; CENPP; F5; PHLPP1; NRP1; OGN; VDR; PDGFRB; ZNF45; ANKHD1; SERPINE2; TMEM63B; TNFRSF11A; FANCC; POTED; MRPL14; LIPI; MYMX; SNURF; UNKL; ASPN; UBE3A; SLC19A2; CENPF; NDUFA2; RELCH; PCSK6; NRBF2; PITPNC1; PIEZO2; ZFYVE28; CD14; ABO; ZNF404; PSMD12; PIGN; ZNF155; PUM3; GNPTG; ECM2; CRTAM; CDX1; USP3; ZCCHC2; PTPN14; ZNF221; REEP3; TMX3; BCL2; JMJD1C; TRIB1; MTURN; ERCC6L2; RBM11; PTCH1; FBXL22; CFAP99; SRA1
inflammatory bowel disease,CFTR; ST7; SKAP2; REV3L; CLEC16A; RIPOR3; ZPBP; TNFRSF9; PTCD2; LY75; GALC; TRAF3IP2; PRDM1; SBNO2; TBC1D1; RPS6KA2; P4HA2; GSDMB; FOSL2; FAP; CACNA1S; IL12RB2; CYLD; GCKR; SEH1L; HSD17B2; LAMB1; SLC26A3; DLD; CREM; JAK2; RPL3; SYNGR1; CEP128; HNF4A; ARFRP1; FERMT1; POFUT1; MAPRE1; SMAD7; SLC25A15; IQCH; RIPK2; MCM4; TYK2; CDC37; ITGB8; TNFSF8; SUFU; MAP3K8; SMC3; CUL2; ZMIZ1; PPIF; TSPAN14; CCL7; CCL8; IL2; KLF3; DUSP16; IL26; IFNG; RIPOR2; BACH2; PERP; C7; DAP; IL12B; LNPEP; TTC33; POMC; IL1R1; IL1RL1; IL18R1; IL18RAP; PLCL1; THADA; ERRFI1; PARK7; ARHGEF2; CTH; KIF21B; TNFSF4; CTSD; TNFAIP3; NKX2-3; INSL6; TNFSF18; TENT4B; ADCY7; CCR2; RPL21; PLAU; ZNF831; SOX4; MYRF; IRF1; SLC2A4RG; INTS11; AAMP; LIF; TNNI2; LRP3; EMC8; SLC34A1; TBC1D5; PDLIM4; IQCA1; PRKAA1; KHDC4; GPR12; COG6; SLC39A11; SPIRE1; FADS2; TMEM258; UBAC2; TRAFD1; SP110; TMBIM1; KIAA0319; TAF8; LRRC32; SEMA6D; ADCY3; CH25H; EXOC6; ZNF365; SENP7; GPR65; CRTC3; NKD1; KSR1; DNMT3L; IL19; CAPN10; DMRTA2; ADAM15; HCN3; ACKR3; OSMR; RNF145; CDKAL1; GNA12; GIGYF1; AUH; SEC16A; NOTCH1; PARD3; CAMK2G; FADS1; FOXO1; SLC2A13; CCDC122; USP12; ZFP36L2; CATSPER3; BANK1; PLA2R1; USP25; ETS2; EMSY; GATD3; ICOSLG; IKZF3; TMCO4; MXRA8; IL23R; REL; PUS10; PEX13; INAVA; CXCR1; ARPC2; BSN; APEH; ADAD1; IL22RA2; TSHR; SNAPC4; BRD7; FAM227B; CDYL2; PRKCB; SMAD3; NOD2; SNX20; STAT3; INPP5D; RGS14; EFNA1; PGM2; GPR183; HINT1; OTUD3; GPR25; C7orf33; PTGER4; ORMDL3; CCL11; MFSD4B; TRIB1; DAG1; MST1; NUPR1; HORMAD2; BOK; BASP1; OLIG3; GBA1; SH2D4B; PRM3; TNP2; GPR35; RNF186; TUFM; CIITA; NRIP1; SETD2; TNFSF15; ADO; SATB1; PSMG1; UQCR10; ZBTB40; APOBR; SP140L; SH3BGR; KPNA7; MUC1; ZFP36L1; UBE2L3; BRWD1; DMWD; IKZF1; ZFP91; CARD9; TPRG1; IL17REL; SLC24A5; CLN3; DUSP29; PLA2G2E; LRRK2; RNFT1; SPOCK3; ATP2A1; PTPN1; FUT11; ZGPAT; NOL4L; SLC22A4; IL27; SLC22A5; SMURF1; LIME1; C1orf141; ATXN2; DOK6; DENND1B; DNLZ; nan; CPTP; SETSIP; RPS18; GPX1; B3GALT4; RGL2; IRGM; PEDS1; CEBPA; LY75-CD302; PRKDC; SMIM3; SYT13; RTEL1-TNFRSF6B; FAS; RNASET2; IFNGR1; TNC; VMP1; PDE4A; RRP15; RHOA; SLC12A1; REXO2; SDF4; RAPGEF3; RSBN1; IMPG2; RBM22; RPL6; PDGFB; ZMAT5; ASCC2; CD40; TM9SF4; AAGAB; ICAM5; CBLL1; ACTA2; CCL2; SLC15A3; NAA25; ARFGEF3; SLC16A10; DNAJC27; FNDC4; ITGA4; IFIH1; GCA; IGFBP2; GON4L; PHTF1; IFIT2; SMNDC1; ENOX1; CD244; CISD1; SNAI1; TM9SF2; SIRPD; PTPRB; MACF1; PNKD; APOBEC3A; PHF20L1; SAG; LSP1; NDFIP1; ACAP3; DAP3; WASF3; CRB1; ETS1; KCP; KCNMB4; IL10; KIF11; DUSP5; ITPRID2; FGF7; IFNAR1; TMEM50B; FCGR2A; RORC; AMT; NICN1; ZNF300; CDKN2B; CDKN2A; GLYAT; COMMD7; CD226; PRSS23; PLEKHH2; HHEX; PLCL2; NSMCE2; LCA5L; PANK4; KRTCAP3; GART; YDJC; CCDC116; RPS6KA4; SCNN1D; CTLA4; PF4; ELP6; RNF123; ANKRD33B; ERAP2; UBLCP1; CSF2; DAGLB; NDST2; TMEM135; GPX4; KIR3DL1; CCDC88B; RBPJ; HR; FEN1; LGALS9; TAS1R3; PUSL1; FOS; CEBPB; OR5B2; OR5AP2; THEMIS; CFL1; MTX1; TLR10; FOSL1; RMI2; UMODL1; CAVIN1; LACC1; ITLN1; SLC9A4; GET1; TNRC18; DEXI; TDRKH; BMP8A; KCNH8; SNN; SDR42E1; C5orf47; SOCS1; ZPBP2; LYRM7; RUFY4; LITAF; FAM53B; EPHB4; SULT1A1; PLCG2; SPRED2; C1orf185; PFDN6; BRD2; HLA-DMA; CNEP1R1; ITSN1; CEP43; ATAD3C; FNIP1; ZGLP1; CCNL2; VPS52; WDR46; MRPL20; CNTF; UBE2V1; RTEL1; FDX2; GET1-SH3BGR; ABCB5; CD6; CNTN1; PRDM11; AKAP11; CLXN; TG; CUL1; ATG5; HDAC7; TNPO3; ICAM3; SP140; CARMIL1; PTPRC; EFR3B; ATG16L1; DNMT3B; KIF9; CRLS1; DAZL; TGFB2; NXPE1; MTMR3; CEP76; MRPS31; MYEF2; SQLE; RSPH6A; ICAM4; WNT2; DVL1; MTPAP; TUBD1; RPS6KB1; LPXN; CARS1; PHACTR2; CCND3; MRPS27; C9; FOXP1; CCL20; IGFBP5; IL1R2; NR5A2; FASLG; IRF6; TNP1; ANKRD13C; DNMT3A; IDE; GTDC1; RASL11A; PRM2; EGR2; CDKN2C; TTPAL; EDN3; PEDS1-UBE2V1; RNF114; GPR18; SYMPK; PRDX5; PCBD2; OSER1; CTIF; IL2RA; KDELR2; IRF4; NXPE4; STAMBPL1; ITGAV; IL21; BLTP1; IRF8; NTN5; HORMAD1; GOLPH3L; SYT14; RIT1; TCTA; SLC12A9; IPMK; CYRIB; KAT6B; AGAP1; IFNGR2; TFF3; RAVER1; SLC45A1; C1orf74; CTSS; TRIM46; ICOS; IL3; SYK; ATXN2L; TET2; UBE2V2; THBS3; SLC50A1; TMED10; GNB2; CTSW; SNX32; CNTNAP2; FZD4; OR9G1; AMZ1; PTPN2; FUT2; SEC24C; RABEP2; ZNF366; SH2B1; MAF; HLA-DQB1; GPBAR1; CXCR2; BBS12; ASB18; EIF3C; CERKL; ZNF512B; S100A10; CHSY3; TMEM116; PIM3; LINGO4; GRID2IP; MEIKIN; APOBEC3G; KIR3DL2; CD302; HLA-DMB; TNFRSF6B; ZFP91-CNTF; NOS2; TRAF3IP3; SLC6A7; PPP5C; PTGER3; PITX1; CAMK2A; EPHA8; ACTL6B; TRIP6; SIRPG; ICAM1; SUCO; SIRPB1; KIF3B; SH2B3; CPEB4; KLHL18; SCAP; STAT1; NEK9; INSL4; TRIM25; SOX9; PLAGL2; IRF5; EPB41L4A; RSPH3; ZBTB46; SLC7A10; NFATC1; SYT11; PTPN22; NOTCH2; CENPO; ACTR1A; MFSD13A; STAT4; PPP3CA; ERBB2; GRB7; PKLR; FAM171B; LPP; GSDMC; FLI1; PTPRK; DGKE; TNFRSF14; GPSM1; CXCR5; ENTREP3; CCR5; KRTCAP2; SSR2; CXCL5; TAGAP; OSGIN2; NFIL3; ZCCHC24; ABRAXAS2; BORCS5; LMAN2; ZEB2; CTNND2; NSG2; ASXL1; OR5B12; OR5AR1; FIBP; RASGRP1; MUS81; HECTD4; TLR1; PRM1; SGF29; MAMSTR; PTPN11; TSKU; FAF1; FCAR; BTBD8; STMN3; HES5; SIRPA; C20orf203; EEF1AKMT2; C17orf67; CTXN2; PTTG2; NPIPB8; HRURF
inflammatory skin disease,ZBED4; REXO2; NXPE1; BRD1; NXPE4; NXPE2; ALG12; CRELD2; IL17REL; PIM3
inflammatory spondylopathy,TNRC18; SMIM40; BTN3A1; VPS52; BTN2A2; DAXX; H4C8; BTN3A2; RPS18; ZBTB22
influenza A (H1N1),DDX18; CEP128; BCCIP; ANAPC15; FOLR3; FGF12; ADGRL2; MTERF2; XAF1; IL18BP; NUMA1; CFAP74; LRIT1; LAMTOR1; TMPRSS11D; ENPP6; FBXO39; TMPRSS11A; GPR15LG; DTHD1; FANK1; PRPS1L1; HLA-DQB2; SNX13; TMPRSS11E; GABRG2; SPINK4; MIS18BP1; GIPC2; PPP1R18; CDHR1; TMEM263; FUBP1; LRP1B; CALML6; LINGO2; TMEM52; MITF; SPRED2; DHX16; ABCF1; DIO2; MUC22; TOMT; GTF2IRD1; YTHDC1; GNRHR; MDC1; ADAM12; PCMTD1; AGFG1; LRIT2; MUC21; PPP1R10; PRR3; DEFB131B; GTF2I; UBA6; ARAP2; DHX32; AHR; CCSER2; FOLR1; RIC8B; ATAT1; PXDNL; RGR; DNAJB4; TSHR; GHITM; TEKT1; LRRC51; TMPRSS11B; GABRD; UROS; UGT2B17; TMPRSS11F; GNL1; HLA-DQA2; LRTOMT
injury,BCKDHB; ANGPT2; FA2H; PHF14; DUSP3; ASB3; RNF146; ABCG2; SLC39A8; MCPH1; ZNF276; RNF150; ZNF716; OSTN; CFAP97D1; ARMS2; WNT16; CUL3; DNAH11; STEAP1B; ZNF330; SLC2A9; PKD2; SPP1; FAM124B; BMAL1; DOCK10; RSPO3; PPM1K; HTRA1; TIMM23B-AGAP6; PCDH9; NDUFA4; WDR1; VPS9D1; CDC5L; CPED1; NFKB1; RAPGEF5; ADAMTS18; CD300LG; CHD9; FANCA; AGAP6; SPATS1; CHCHD3; EXOC4; TGFA; MLLT3; FOCAD; FAM3C; SPIRE2
