disease_name,gene_name
lymphocyte percentage of leukocytes,AOC1; MPO; ITGAL; PLAUR; ELOVL5; EHD3; ANK1; ZNF800; HDAC7; SLC12A2; SBNO2; TBC1D1; PITX1; ARHGAP15; CXCL2; GRHL2; PTPN4; JAK2; BCL2L13; RIN3; HNF4A; EHD4; ZC2HC1A; SPAG1; BNIP3L; ARHGEF18; IL27RA; ICAM5; STEAP1B; PIGL; KLF3; DUSP22; TENT5A; DAP; NR3C1; ACAP2; FOXP1; KLF12; CSF3R; MXI1; CXCR4; FLT3; LY9; BATF3; CXCL6; S1PR4; YEATS4; KDM4B; NFATC1; TRAF3; CHSY1; ZSWIM4; PPARG; OSER1; PEBP4; IL2RA; ETS1; ADAM19; TMBIM1; CAB39; RCBTB1; KDELR2; IL1RN; HS6ST1; NARS2; IQGAP1; ANP32E; ACKR2; SCML4; RSPO3; CREB5; VLDLR; CDKN2A; SEC16A; PDCD4; CD226; PIP4K2A; KCNE4; SETBP1; DCLRE1C; CAMK4; MBNL1; ACOXL; RBMS1; CYRIB; JAZF1; CMIP; UBASH3B; TNIK; BATF; ERG; AUTS2; UBASH3A; ADCY9; PLPP3; ADGRL4; COQ8A; ANTXR2; CXCR1; EBF1; TERT; DAGLB; FOXK1; BORCS5; ARHGAP42; THAP9; CX3CR1; IL7R; TET2; STXBP6; IRS1; ADRB2; ZEB2; BRD3; B3GNT2; S1PR1; PKIA; BCL2; TRIB1; FAM241A; PTPN2; B3GNTL1; UBE2O; HORMAD2; UMODL1; OLIG3; BEND3; APOLD1; GIMAP7; GATA2; ARHGAP45; PRF1; BBS12; RAP2B; PLCB1; SPDYE12; IFITM2; GPRIN3; CMC1; COL4A1; FAM53B; PTPN1; SIRPA; MIER1; SPRED2; DCAF12; NEURL1B; GYPB; ATF7-NPFF; CFAP97D2; BAIAP2L1; SLC39A9; KITLG; PSME4; APBB1IP; PTPRC; ZBTB25; LYZ; TTC28; SAMHD1; KLF5; IL7; ARRDC2; GLCCI1; GLIS3; CSF3; nan; MANBA; CD69; TARS1; MACROH2A1; ASB3; PLEK; LEPR; SLC35D1; KIF21B; STK11; MYB; DNMT3A; RCL1; TNFSF11; ELF1; TENT4B; PREX1; IRF1; CCR7; KLF2; TBC1D14; COG6; GIMAP4; CD164; LRCH1; LCP1; HLX; IRF4; SLCO5A1; EXOC6; NLRC5; IRF8; GATA6; MINK1; PRDM16; LYST; GSDMC; ARID5B; ZFP36L2; HHEX; PLCL2; FLACC1; HKDC1; RBPMS; KIT; VCAM1; EXTL2; NLRP3; STXBP5; GTF2A1; GFI1B; UBE2E3; NINJ2; JMJD1C; MBOAT1; ADCY5; GLMN; ZBTB38; IRX3; SAMD12; ZNF366; CCDC125; JAG2; ANKRD46; HMGB1; HELZ; CARD11; C1orf141; ATXN2; DENND1B; ACKR1; S1PR3; ITGA1; CEBPD; TNFRSF13B; LY75-CD302; ARHGAP19-SLIT1; GRAMD1B; RTEL1-TNFRSF6B; TRAF1; TSPAN32; CDK13; GTF3C1; MEF2C; GSK3B; DNMT3B; HIVEP1; FKBP5; UBR5; ZC3HAV1; ADAP1; LMBR1; VSIR; MS4A6A; LNPEP; ITGA4; IL18RAP; KYNU; IVNS1ABP; SLC2A1; ZNF831; SIRT5; ATXN1; BCL11B; EPS15L1; RAP1GAP2; KNL1; ZNF710; SLC47A1; TNFAIP8; TNIP1; CDKAL1; NR3C2; PELO; DNAI4; BCL2L11; RASA2; NBEAL2; GFI1; SLC30A7; IFI16; TAGAP; VSTM4; SMAD3; TEF; CRK; GPR183; ATF7; CHD7; ATAD5; IL17RA; FAM220A; AATK; SLC8A1; SP140L; PCGF3; IKZF1; RASA3; ZNF292; ANXA6; MAP3K5; GRK5; MAFB; TBC1D8; ZCWPW2; RUNX3; AKAP11; LY75; TNFRSF1A; SEL1L; CHFR; PSEN1; TTC39A; CFAP61; CDC25B; SIRPB1; TRPA1; CDK6; TLE4; SHB; LIPA; SHOC2; ZBTB16; SH2B3; BACH2; PLAGL1; RUNX2; PNKD; SLCO1B1; AHI1; ARHGEF19; GFOD1; CDKN2B; RASSF3; AZIN1; PIK3AP1; ELMO1; CDA; JAML; ARHGAP25; BEND7; ACYP2; AKAP13; PPP1R3B; TNFRSF10C; IL20RB; ABO; LDLRAD3; SEPTIN9; GYPE; CEBPA; DACH1
lymphocyte:monocyte ratio,ZPBP; LYZ; ZC2HC1A; ICAM5; IL18RAP; KLF12; AKR1D1; BCL2A1; IRF8; NLRP12; FOXO1; CAMK4; CCR5; EBF1; WBP1L; IL7R; BCL2; IL17RA; CSF1R; RASA3; CMC1; LPAR1; NOS1AP; EBLN1; DACH1; ITGAL; EHD3; TBC1D1; ITGA4; IVNS1ABP; KANSL1; S1PR4; IL2RA; HS6ST1; NFKBIE; SCML4; ARID5B; DIPK1A; PIK3AP1; ANTXR2; RPN1; nan; IRF2BP2; S1PR1; COQ2; HORMAD2; METRNL; GPR157; CEBPA; SCARB1; EHD4; TRPS1; KCNN4; CD69; IFIH1; NEK6; DNMT3A; CXCR4; LY9; OSER1; PDX1; LYST; GSDMC; FBXL18; PRF1; IKZF1; HLA-C; DEFA3; APBB1IP; FAP; TNFSF13B; IL7; ARHGEF18; CDK6; CAV1; MANBA; CCND3; TENT5A; DOCK10; MYO1G; RBMS1; JAZF1; IL6R; PTH1R; STXBP6; UBE2E3; CEBPB; CMKLR1; ABO; CYP8B1; ARID5A; S1PR3
lysophosphatidylcholine measurement,APOB; PKD2L1; MYCL; FADS2; NTAN1; MAF; CETP; ALDH1A2; TMEM258; FADS1; LIPC; LPL; TM6SF2; DGAT2; UBL3; SPTLC3; FIGN; TMEM229B; LPA
lysophosphatidylethanolamine measurement,CETP; ALDH1A2; SLCO1B1; NTAN1; LIPC; SPTLC3; DHRS12; MYCL; FEN1; SHTN1; LPA; GCKR; FADS2; TMEM258; SERPINA1
macula measurement,LIMCH1; LRP2; FAT1; SCD; OCA2; KCNJ2; ARHGAP22; RAX; RDH5; BOD1; IRAK1BP1; CDKN2B; NCAM1; MPP7; WIF1; EOMES; ADAMTS9; SLC6A20; SHH; CTNND2; MAB21L3; FOXD1; FYN; SNAP91; TYR; ARHGAP28; MTMR3; ARHGEF7; INVS; ARHGAP32; SNRPF; MEAK7; LHFPL2; RSPO2; DLG5; SLC5A11; FBN1; WDR72; NAV2; COL4A3; ABLIM3; STOX2; METRNL; IFNE; USH1C; COBL; GLCCI1; ELP4; TULP1; EFEMP1; PROX1; MREG; FOXO3; TJP2; RHPN2; PDGFRA; SLC16A1; NDUFAF6; AEN; TMEM72; WNT7B; RORB; LRIT2; COL4A4; DYRK1B; TTK; PRRX1; DENND1A; KANSL1; CGNL1; TRPM1; SORL1; SFRP2; LMX1A; CDCP1; ANKRD55; PLEKHA7; IRX2; BPTF; MAF; C14orf39; RAD51B; CFAP299; LINC02210-CRHR1
major depressive disorder,VRK2; NRDC; CELF4; TMEM106B; ACTL8; KLF7; DAGLA; RBMS3; ASTN2; SORCS3; LRFN5; NEGR1; EYS; TCF4; FAM120A; CTTNBP2; SEMA6D; ZCCHC7; DRD2; MEGF11; CCDC68; ERBB4; AGBL4; DCC; WNT7B; METTL9; AMPH; RSRC1; KCNG2; FES; HS6ST3; BTN3A2; PCLO; B3GLCT; FHIT; AREL1; FOXP2; TRAF3; ACVR1B; ESR2; NCAM1; GRM5; PDE4B; PPARA
male reproductive organ cancer,IRX4; HOXB13; TERT; MAPT; POU5F1B; TBX5; EEFSEC; MMP7; ANO7; MYEOV; SLC22A1; NUDT11; HNF1B; FGFR2; SKIL; JAZF1; NKX3-1; AR; MSMB; SPDL1; ABI3; KLK3; SP8; PLCB1; GJC1
mammographic density measurement,TBX15; CCDC170; ZNF365; SPAG17; CEBPB; IGF1; ADAMTS8; ADCY3; MKX; FUT2; TMEM184B; KCNU1; PRDM6; AREG; LY86; LMNB1; SSPN; ADAMTSL3; BOLA3; BCL2; ATXN1; PPARG; BMAL1; OSR1; ADAMTS9; RAD51B
mammographic density percentage,DUSP4; ATXN1; PPARG; ADAMTS8; OSR1; KCNU1; ADCY3; ZNF365; FUT2; TMEM184B; PRDM6
mathematical ability,SEMA3F; PDK2; MAP3K14; CACNA2D2; TFAP2B; SCMH1; VRK2; CUL3; SNX29; CELF2; SDCCAG8; CCDC85A; WAPL; NGEF; KLF6; RORA; MNT; TRIB2; ADCY2; BRINP1; REXO1; CNOT4; IGSF9B; MEF2C; CYLD; SCAMP1; USP40; PHACTR3; LHX5; GANAB; GOLGA3; ZFHX4; RGS17; SCFD1; G2E3; DEPDC5; DMC1; CD40; STK4; STK24; VWA8; LMF1; CORO7-PAM16; SALL1; AP3B2; TGM5; GRIN2D; MAST1; SP4; GSDME; TSPAN13; GLI3; KDM4C; ELAVL2; GLIS3; ASIC2; GABRA4; PPP6R3; CHORDC1; RERGL; FBRSL1; MAN2A1; HMGCS1; CDH9; PDE4D; DBN1; KAT2B; BCHE; HHLA2; FOXP1; GPD2; EFEMP1; EHBP1; BIRC6; PLCL1; KCNC4; IGSF21; FBXL5; FOXO3; PCDH17; SATB2; KLF9; CTNNAL1; BCL11A; HSPH1; ADGRB2; ACVR2A; PREX1; RREB1; PIWIL1; TMTC4; GRK4; KDM4B; SPECC1; LRRC4; GAD1; SGO1; GADD45G; ZSWIM6; FCHO1; OLFM1; HABP4; KHDRBS3; GCH1; APCS; NMUR2; DCLK1; CHL1; OASL; HTR1B; EPHA7; DGKB; TANK; RALGPS1; SIX3; NDST4; HNRNPD; PPA2; SLC39A8; LNX2; MBNL2; PELI2; CDH13; BARHL2; KCNH1; ST6GAL2; RALB; THSD7B; GALNT13; SCN1A; CNTN4; EPHA5; CDH18; PPIP5K2; TENM2; IRAK1BP1; PHIP; RARS2; SDK1; TLK2; CSGALNACT1; MAL2; NFIB; NTRK2; ZNF462; SLC39A12; PARD3; GRIK4; KIRREL3; CDH22; CNTN5; CDH8; EEF1AKMT1; GPM6A; DLG2; LYZL2; EIF4E; MAGI1; AKAP6; DPYSL4; RNF144A; SLC35F4; TMEM163; SETBP1; UTRN; CNTNAP4; STK32B; RBMS1; CYRIB; MSI2; FAM167A; GPR26; NCAM2; PDE1C; CNTNAP5; PTPRN2; SORCS3; PPP2R2B; CREB3L1; SPPL3; AGAP1; AUTS2; KCNB1; POM121L2; MED27; WDR64; VSNL1; ANKRD23; GNPDA2; EOMES; RYBP; APBB2; TASOR; nan; NPY1R; GRIK2; WNK2; TMEM63C; AKR1E2; OTX2; SPRED1; CCDC68; KIFC2; KCNJ4; IRF2BP2; GBX2; AXIN2; ZNF608; INPP5D; PTK2; ZEB2; LINGO1; ROBO1; BRD3; ZFPM2; ALCAM; UBE2E3; CNGB3; LRRN2; VSTM2A; LONRF2; CDH2; FOXN2; FSHR; KBTBD2; MSANTD4; TSNARE1; LRRC8C; JMJD1C; GAP43; NEGR1; PURG; OR5B3; TNKS; GOLIM4; CNTNAP2; PPP2R2D; NR2F1; TTLL11; MSRA; FOXG1; VPS37D; BDNF; RPRM; TBL1XR1; SAMD12; NECTIN3; LCORL; KCNG2; ERBB4; C14orf39; GPC5; DNAJB8; MAB21L1; NME9; DIPK2A; AMIGO1; ADGRB1; BACE2; PLCB1; NTM; TSKU; GRID1; CSMD1; CALN1; CTNNA3; SELENOF; ZNF438; RP1L1; OPCML; EFNA5; POU3F2; PTP4A3; PDE4B; RBM43; ROBO2; SGCZ; KIAA0825; NR2F2; LSAMP; KCNIP4; BTN3A2; ZNF396; ARAP1; ZSCAN30; C3orf70; MITF; LHFPL3; EXD3; ENO4; DPYD; FAM78B; MSANTD1; FAM53B; PTPRT; SRGAP3; STK31; CPNE4; PTPN1; CACNA1H; PLXNB2; TCF4; MAML3; ACSL5; CACNA1E; SPRED2; TLK1; ZNF521; GRM3; OPA1; CCDC167; L3MBTL3; RORB; STUM; CENPW; FOXO6; SP5; RANBP17; TMEM200C; STMND1; HLA-B; IQCM; SHANK3; RTL1; SALL3; CUX1; BLID; GTF2I; DACH1; MRM1; TBCE; MAD1L1; THSD7A; ASB4; ETV1; MRC2; RNF216; ZFP64; TFB1M; ARID4A; LRRC7; MYO16; USP28; LMO3; FAM120A; NEDD4L; FOXN3; ANAPC4; TMCC3; GATB; EYA2; ERBB3; GSTO2; CACNB1; SYT1; OSBPL3; MYO3B; ARHGAP15; JADE1; NEBL; RUNX1T1; KCNN2; CDH7; TTC39A; RAPGEF4; ZNF184; PALM; NOL4; OLFM4; HSDL1; TUSC3; BNIP3L; CACNG7; LSM5; POU6F2; LHX2; TMEM245; CPD; NRXN2; ASF1A; CDH6; ST8SIA4; ZAP70; PDCL3; ALMS1; EDEM3; RRAGC; ECE1; KLF12; DENND1A; IRF2BPL; PLXDC2; BTN2A2; PRDM7; POR; STYXL1; CALU; EXOC4; SEC61G; XPO4; MORC2; LARGE1; MYO18B; MEIS2; SOX5; REV1; TGFBRAP1; WASHC4; LMO7; NKX2-8; SCN2A; SLC22A23; TTC29; KIF20B; BMP2K; PIK3C2G; PPFIA2; ZCCHC14; ASXL3; RXRG; NUP210L; CEP170; PDIA6; AFF3; CDCA7; NYAP2; FBXL17; MFHAS1; TCF7L2; GSTO1; LRRC4C; TENM4; NCAM1; HMGA2; C2orf50; C4orf33; ASTN1; CAMK4; FARP1; NR4A2; LONRF1; SORBS2; PLCL2; PPP4R1; FBXL18; UNC5D; NFIA; LRRIQ3; SNX7; BRINP3; PEX13; COQ8A; NDUFAF2; EGFLAM; SLC7A13; FAT3; AK8; LRP1B; TET2; P2RY1; SPDYE5; TMEM182; IRX1; IRX2; PPP1R3B; STOX2; CHD2; VWC2L; NR1D2; CADM2; ERCC4; BNIP3; MEX3C; DPY19L3; EGR3; GRM8; NRXN1; ZNF648; EXT1; GABRG3; FIGN; OTOL1; CABCOCO1; PCBP3; PRKD1; COLEC10; PRKN; PTCH1; WWOX; KLHL32; MPPED1; EFCAB6; LUZP2; TMEM120B; SPATS2L; ESRRG; MRTFA; LRRC8B; NOL4L; HTT; PHF2; CYRIA; ZNF536; GRIN3A; TOP1; SGMS1; ERICH2; MICB; SAMD9; DEFB134; ACKR1; NEURL1B; PRR20G; HS3ST5; CLDN23; LINC02210-CRHR1; MEI4; GRIN2B; DERA; EPHA3; MTA3; NOX3; RBFOX1; TNRC6C; B4GALT1; MAP3K20; NRP1; MKNK2; ARVCF; PAK5; ZNF423; TOX3; NEFM; AVL9; PALS2; GLCCI1; CHCHD3; APBA1; XPNPEP1; NUFIP2; MADD; MCM9; MDGA1; KHDRBS2; QKI; ARRDC3; FGF12; FANCL; AKT3; CFAP58; SEC16B; TSHZ3; AGO2; BCL11B; FOXP2; KIF1A; TRAF3; NUP210; LARS1; MDFIC; BRIP1; TTLL7; PRKG2; DUSP6; NOVA1; MDGA2; ZFHX3; CTTNBP2NL; VPS54; SNRNP200; SLC4A10; PLK2; PAM; GABRB2; SCML4; ASTN2; ZEB1; PLEKHS1; DRD2; HNMT; CRIM1; CACNA2D4; CACNA1C; ZNF385D; ATG10; SPOCK1; PFKM; SLC16A12; MED21; PTPRD; CA10; SLC24A2; PCDH1; LRFN2; CACNA2D3; ESYT3; H2BC5; KALRN; AZGP1; PUS10; GABRB1; INAVA; CWC22; FBXW12; FZD6; GABRB3; ACTBL2; MN1; PCDH7; DENND5B; NPAS2; ATF7IP; CAMTA1; SH3RF3; DAB1; BAIAP2; TCERG1L; CDH4; CCDC66; NPM1; KPNA2; RGS6; CAMK1D; SYNDIG1L; GRIN2A; MAML2; OSBP2; PRR16; PURA; HS6ST3; PCGF3; C11orf87; RGS7BP; NF2; TEAD1; DCC; B3GLCT; EYS; KIAA0408; CD47; DPP4; MMP17; PRMT6; MFAP3L; NALF1; PLXNA4; ELFN1; SHISA9; MDFIC2; PTCHD4; LY75-CD302; PRAG1; KMT2E; NFIX; SYT13; MFAP3; MPHOSPH9; LY75; SFSWAP; MTFR1; MAST4; RARB; TUT7; CBX5; CRTAC1; CACNA1I; GALNT16; CELF4; SMCHD1; N4BP1; TRPS1; ERI1; CCNE1; CRTC1; DNAH11; TLE4; KCNT1; NPM3; GBF1; PIGL; MED13; NECTIN1; BBX; RTN4; SLC25A12; PCYOX1; PRRC2C; SLC16A7; KLHL29; LGALSL; CRHR1; ARAP3; KIAA1217; CDH26; PHF20L1; UNC79; DPH6; DTNA; DYSF; EIF4E2; BORA; NKX2-1; FOXP4; SEMA6D; ZNF365; FAM222A; DIAPH3; DNAJA4; PARN; NPEPPS; PKP4; GULP1; IQSEC1; TBC1D7; ADGRL3; THRB; NBAS; RABGAP1L; PRKCA; KCNJ6; CABP1; DZIP1L; CADM3; LMX1A; KCNJ3; FHIP1A; TMEM161B; ELOVL7; CEP57; CTNNB1; TNXB; TMEM192; ZNF804A; XKR6; C8orf74; ADCY5; BRSK2; CTBP2; PCCA; LY6H; ZBTB38; YIPF7; SLITRK1; PLEKHM3; DHFR2; GPR19; SCN5A; PCDH9; SIX6; ZNF397; TMEM17; SHTN1; FAM180A; MYT1; NTNG2; MYO18A; ADARB1; DIO3; NMS; ANKRD39; MARCKS
mean arterial pressure,CLCN6; UFL1; SLC4A7; ADRB1; FOXC1; HIPK2; MEF2A; ATP2B1; ITGB5; EFR3B; MECOM; NFATC2; EVX1; CUX2; FHL5; NPR3; PDE1A; SGIP1; TBX2; ZNF831; PGPEP1; CASZ1; SWAP70; BMAL1; WNT2B; NGF; TBX3; AGT; ABHD17C; SMAD6; USP8; FGF5; SLC39A8; FBN2; LMAN1L; ZFHX3; CEP170; SLC4A10; METTL21A; PTPRJ; NCAM1; JPH2; TMEM18; SETBP1; TRIP12; PRKCA; CACNA1D; ERG; GUCY1A1; NOS3; ARHGAP42; CACNB2; KCNK3; PDE3A; SLCO4C1; SNX31; YPEL2; APOLD1; CYP11B2; FES; FANCF; CABCOCO1; HOXC4; LRRC10B; RGL3; MEF2B; ST7L; GUCY1B1; HDAC4; INPP5A; KIF2A; PTPN3; MEF2C; GNA11; TNRC6A; COL9A3; MYO9B; GSDME; HOXA13; STN1; SOX6; TNS2; PDE10A; MAPKAP1; PLEKHG1; TSHZ3; HIVEP3; PODXL; LSP1; CFHR4; BLK; PLCE1; ENPEP; PPP3CA; WARS1; FTO; SIK1; CDCA7; SCOC; MERTK; WNT3A; FGD5; WBP1L; SH3TC2; PDILT; ROBO1; INSR; MSRA; YES1; LCORL; PTPN11; ADO; FIGN; RASA3; TMEM72; SMOC1; ZNF652; SLCO6A1; SIPA1; EBF2; RUNX3; SMG6; CFHR2; CCNT2; WDR7; ZNF423; NAA25; PREX1; KDM4B; TNNT3; POU2F3; POC1B; RHBDL3; PKP4; CNNM2; CLGN; CMIP; ACE; MYL3; NEK10; HNF4G; NPNT; SPDYE5; XKR6; PRKCE; MYEOV; HECTD4; TLCD5; SEPTIN9; SPRY4; NEMP2; GRM7; EML6; GDF10; S1PR2; TFAP2B; HDAC7; PRDM6; BORCS8-MEF2B; SLK; ATP12A; GNAS; PALS2; GOSR2; PPARD; CPEB4; GRB14; THADA; EDEM3; MSX2; IFT81; DBH; DOCK10; ARHGAP24; MAPK4; THSD7B; PLK2; SLC25A37; SNTG1; GAS2; UBASH3B; PALM2AKAP2; AUTS2; HLCS; EBF1; TERT; PLEKHA7; CTNNB1; PKHD1; PRL; UBE2E2; RGS6; KCNJ11; ARHGEF12; BAHCC1
mean corpuscular hemoglobin,CASP10; SLC4A1; JARID2; UBE3C; TRAF3IP3; HFE; CLCN6; ALOX5; HEBP1; SLC38A5; CPS1; SLC45A4; RTEL1-TNFRSF6B; TBPL1; RFC1; CDH1; PHLPP2; MYO16; CC2D2A; RRM2B; HOMER3; ATP11B; HDAC7; CDH3; APPBP2; FECH; KLF6; ATP11A; TGFBR3; WIPI1; HLTF; TFRC; SCARB1; EIF4G3; FNDC3B; PLD1; RBFOX1; HOXA9; CARMIL1; SESN1; IMPG2; MEF2C; PTPRC; STK17B; PDS5B; RAB10; PPP1R15A; AURKA; GP6; SMOX; XRN2; PABPC4; TF; MYO15A; BAMBI; FBXO7; CDKL1; SUSD6; CDC25B; SMAD7; ZNF423; NPRL3; ABCC1; SLC7A5; UBR5; ERI1; BNIP3L; PDCD5; KLF1; H2AZ2; TFR2; ARHGAP21; ANKRD26; GLRX3; HSPA8; ST3GAL4; SOX6; C11orf58; PPM1H; PARP11; HBS1L; CCND3; EXOC2; SLC12A7; CPEB4; TFDP2; KAT2B; FOXP1; ID2; MORN1; LEPR; NEK2; RPS6KA1; MYB; ALDH8A1; CCND2; ELL2; NKX2-3; MXI1; HELLS; KANSL1; RCL1; PLS1; TNFSF10; PIK3CA; ATP7B; NFE2; TOX2; SLC17A3; SOX4; MGME1; OTOR; MAX; ATF4; SPECC1; POT1; CSRP3; E2F8; AANAT; KLF16; CBFA2T3; APOE; XPO7; GCH1; PRKAA1; RPA1; RBM38; TMCC2; nan; SLCO1B1; PDGFRA; PRR5L; LMO2; CD164; URB2; ITM2C; HLX; TXN; ANP32B; MYC; PIM1; GMPR; FRS3; SLC22A23; TUBB2A; CTDSPL2; SMAD6; DNAJC13; SLC40A1; CUL4A; ARMH4; STON2; TICRR; TMC6; FOXK2; RNPEPL1; PRDM16; LYST; FBXO28; METTL21A; SLC25A26; LRIG1; ALDH1L1; SLC10A6; CCNA2; ZAN; SLC25A37; DNAJC5B; MTDH; GSDMC; THRB; MIPOL1; ME3; ATP6V1G3; TEX9; EPG5; ZFP36L2; PAN3; GJA1; ACOXL; BCL2L11; ABCA6; PLCL2; LARP1; RASA2; NAT2; MIDEAS; ANKRD9; HK1; RBPMS; KIT; ERG; AGAP1; HPD; AUTS2; CDA; BTG2; SYCE2; TRIM58; MAPKAPK2; CIP2A; SPTA1; CCDC158; ZDHHC19; INTU; TERT; CITED2; MARCHF8; GTF2A1; BTRC; STXBP4; TRIM66; GREM1; RRM1; MIDN; AXL; FAM234A; IRF2BP2; TET2; PTK2; ZEB2; BRD3; KLF13; UBE2E3; GYPA; B3GNT2; SMAD1; KBTBD2; RHNO1; PTEN; ZNF217; ISG20; AFF1; BANP; ZMAT3; LVRN; FAM222B; TRIB1; NABP1; CHD2; NUDT4; EXO1; CHST2; ATR; ABO; PPP2R2D; RPS6KB2; MLXIP; UNC119B; BNIP3; CRLF3; MAP3K19; HORMAD2; TGIF1; TBL1XR1; ERFE; FAM219B; ZBTB7A; ZFPM1; SERTAD2; H2BC4; RAD51B; NEB; GPR19; CCBE1; TENT5C; ADAP2; KCNJ12; DLK1; IKZF1; IRS2; CDIN1; TMPRSS6; PTMA; TMEM72; FOCAD; LCTL; NDOR1; HMGB1; TRRAP; PTPN1; ZNF777; SLC6A9; ADH1B; UGT2B15; TLE1; IGF2R; TRIM33; HNRNPAB; TFDP1; SPRED2; BAZ1A; GRIN3A; DCAF12; DDO; BMPR2; SAMD9; CNEP1R1; ITSN1; HBM; SYCE3; TNFRSF13B; STMP1; CEBPA; LY75-CD302; FNTB; BLOC1S5-TXNDC5; NATD1; TSPOAP1; E2F2; ANLN; KITLG; PUM2; CTDP1; INTS13; BCAS1; ZFAT; NEO1; STON1-GTF2A1L; SMG6; PABPC1; RGS11; EPB41L2; YTHDC1; IPO11; EIF2AK1; TMPRSS11E; TFAP4; SRPK1; JAK2; GGT5; BIK; PNPLA3; KCTD17; AP4S1; PPP4R3A; MRPS31; GCDH; SUSD1; STN1; ZMIZ1; RNF43; MED13; UGT2B10; NFKB1; ZBTB16; C11orf21; NAA25; TMEM14C; SLC16A10; TFEB; FBRSL1; ASB3; USP34; PLCL1; RSRP1; SGK1; FOXO3; PPL; ATAD2B; BCL11A; C10orf88; DUSP1; KBTBD7; FAM117A; IFT81; ITPR2; ATG101; AGO2; PREX1; MTRR; IRF1; OVOL2; CHURC1-FNTB; TST; EIF2AK4; SLC35D2; OSER1; MBD2; CCNH; SOX5; NREP; HNF1A; CD36; AHI1; PKIB; MDM2; RNASEH2B; TBC1D4; SUCLA2; LMO7; TNS3; BZW2; IREB2; MARCHF7; IL1RN; NIBAN2; DENND4C; SENP7; MNS1; BMP2K; SS18; DYRK3; PARP1; AFF3; CDCA7; PIK3R1; IQGAP2; NRBF2; PPRC1; ENDOD1; TBX6; CD226; FOXO1; UPF2; MSI2; RAB6B; HEATR3; ART3; WIPI2; ADGRG5; HSF2BP; RALGDS; IL6R; PDZK1IP1; TAL1; HAAO; KBTBD8; NFASC; GYG1; STK17A; DLC1; ZNF367; GFI1B; CEP57; C11orf65; ATMIN; COG1; TRAPPC9; UBXN6; RAB3IL1; RFWD3; STAT3; MN1; GPR37; GAA; EHBP1L1; PCSK1; ACSF3; TYMS; FOXS1; F2R; MACIR; RFX7; GLRX5; PGPEP1L; POU6F1; LPAR5; XPOT; TMLHE; RHD; ZNF292; LONP1; SLC30A10; HSH2D; AP2A1; NOL4L; SMOC1; SMURF1; FANK1; ATXN2; EXOC3L4; KLRC2; FAM174C; TXNDC5; YAE1; GSTA2; PGAM5; LSM14A; SMIM41; SLC22A16; PRKAR2B; NFIX; BAK1; LY75; SLK; TIE1; KIF2A; ATP1B3; SNX13; LNX1; SLC24A1; RBMS2; MOK; STRADB; XPO1; TNPO1; SLC23A2; ANKRD24; MAEA; XBP1; PPP6R2; MYH9; VSX1; MYBL2; CEP192; ANKRD12; STEAP1B; SERPINE1; EZH2; SLC6A4; ACAD10; ALDH2; SRSF3; BACH2; FIG4; ARRDC3; ST3GAL5; RALGPS2; DHDDS; ELF1; TNFRSF10B; DDX39A; MED20; PRDM7; A4GALT; APOBEC3A; ZBTB46; SLC7A10; BRIP1; LARP1B; ETV6; DNAJA4; CCDC33; FTO; ITGB3BP; ANKMY1; SKP2; FBXL17; HMGCLL1; DOK2; SESN3; RMND5A; ANGPT1; DEPTOR; HKDC1; DYRK1A; G6PD; NLRP3; ZNF496; PDZRN4; NAV2; CHAF1A; TK1; SPRY3; CHD7; BCL2; SUCLG2; RALGAPA1; RTTN; USF3; MYO1D; PXMP2; ZBTB38; UBE2N; BEND3; ZNF322; PTTG1IP; EP400; KLHL25; SMIM29; UBE2H; GTF2E2; PRIM1; ZNF652; LDLRAD1; MBD5; HLA-C; RGL3; KIF4B; UBE2L5; HBB; RHBDF1; MPND; ZNF800; CUL1; PKN2; NCK2; CHFR; ZNF638; GEMIN5; NUP50; IL2RB; MEFV; MCM4; CDK6; KLF3; KHDRBS2; GPLD1; NNT; GADD45A; MYCL; TMEM156; MPST; PGAP6; NDFIP1; ILKAP; EEFSEC; EIF4E2; PLXNC1; PPA2; RPRD1A; LBR; ASXL2; MUC4; TNFAIP8; CDKAL1; UGCG; KIRREL3; CSNK1G3; BMP6; SPAG17; FCER1G; MEIOB; RYBP; RPN1; UBXN7; MATCAP2; USP49; CLMP; TMC8; AHSP; SLC30A1; LRRC34; JMJD1C; CERS6; WASHC2C; EGFL7; EIF3F; TTLL11; ATAD5; APOLD1; SLC47A2; NXPH3; SLC25A21; CEP57L1; NAP1L1; ZNF605; FAM114A1; GTF2A1L; GSTA1; GYPB; PRKDC; CUX1; RTEL1
